Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,015548","-4,56E-17","0,11367",0,0,0,200,"21,727","-2,0472E-15","0,62862","34,655","7,9612E-16","49,95",0,0,0,0,0,0,package://Сборка1/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Сборка1/meshes/base_link.STL,,амр-1,base_tf,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0,0,"0,025",0,0,0,10,"0,022164","1,7347E-18","-2,4651E-19","0,022164","6,9319E-19","0,040193",0,0,0,0,0,0,package://Сборка1/meshes/left_wheel.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Сборка1/meshes/left_wheel.STL,,колесо-1,left_wheel,axis_left,left_wheel_joint,continuous,0,"0,3","0,07","1,5708","-0,62076",0,base_link,0,0,1,,,,,,,,,,,,
right_wheel,0,"-6,9389E-18","0,025",0,0,0,10,"0,022164","1,7347E-18","5,2088E-20","0,022164","-1,2703E-18","0,040193",0,0,0,0,0,0,package://Сборка1/meshes/right_wheel.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Сборка1/meshes/right_wheel.STL,,колесо-2,right_wheel,axis_right,right_wheel_joint,continuous,0,"-0,3","0,07","-1,5708","-0,6019",0,base_link,0,0,1,,,,,,,,,,,,
lidar,0,0,"0,025",0,0,0,"0,01","0,0011925",0,"-7,0288E-36","0,0011925","-3,7883E-36","0,0015683",0,0,0,0,0,0,package://Сборка1/meshes/lidar.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Сборка1/meshes/lidar.STL,,лидар-1,lidar,,lidar_joint,fixed,"0,34586",0,"0,145",0,0,0,base_link,0,0,0,,,,,,,,,,,,
